Region,Department,Commune_Code_INSEE,City,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro,Source_File,Year,latitude,longitude,total_tax_per_city
AUVERGNE-RHONE-ALPES,RHONE,69034,CALUIRE ET CUIRE,267.0,2433972.0,9534.0,ificom-2022.xlsx,2022.0,45.7974053648,4.85124857101,2545578.0
GRAND-EST,BAS-RHIN,67482,STRASBOURG,772.0,2428332.0,10243.0,ificom-2022.xlsx,2022.0,48.5712679849,7.76752679517,7907596.0
GRAND-EST,BAS-RHIN,67482,STRASBOURG,772.0,2428332.0,10243.0,ificom-2022.xlsx,2022.0,48.5712679849,7.76752679517,7907596.0
GRAND-EST,BAS-RHIN,67482,STRASBOURG,772.0,2428332.0,10243.0,ificom-2022.xlsx,2022.0,48.5712679849,7.76752679517,7907596.0
BOURGOGNE-FRANCHE-COMTE,COTE-D'OR,21054,BEAUNE,51.0,2416074.0,9954.0,ificom-2022.xlsx,2022.0,47.0255189366,4.83767985985,507654.0
NOUVELLE-AQUITAINE,GIRONDE,33069,LE BOUSCAT,259.0,2410045.0,11182.0,ificom-2022.xlsx,2022.0,44.8661298323,-0.602121558626,2896138.0
LES-HAUTS-DE-FRANCE,NORD,59350,LILLE,366.0,2406814.0,9731.0,ificom-2022.xlsx,2022.0,50.6317183168,3.04783272312,3561546.0
LES-HAUTS-DE-FRANCE,NORD,59350,LILLE,366.0,2406814.0,9731.0,ificom-2022.xlsx,2022.0,50.6317183168,3.04783272312,3561546.0
LES-HAUTS-DE-FRANCE,NORD,59350,LILLE,366.0,2406814.0,9731.0,ificom-2022.xlsx,2022.0,50.6317183168,3.04783272312,3561546.0
LES-HAUTS-DE-FRANCE,NORD,59350,LILLE,366.0,2406814.0,9731.0,ificom-2022.xlsx,2022.0,50.6317183168,3.04783272312,3561546.0
LES-HAUTS-DE-FRANCE,NORD,59350,LILLE,366.0,2406814.0,9731.0,ificom-2022.xlsx,2022.0,50.6317183168,3.04783272312,3561546.0
GRAND-EST,MEURTHE-ET-MOSELLE,54395,NANCY,210.0,2406796.0,9761.0,ificom-2022.xlsx,2022.0,48.6901995499,6.17588254434,2049810.0
GRAND-EST,MEURTHE-ET-MOSELLE,54395,NANCY,210.0,2406796.0,9761.0,ificom-2022.xlsx,2022.0,48.6901995499,6.17588254434,2049810.0
OCCITANIE,HERAULT,34057,CASTELNAU LE LEZ,103.0,2403847.0,11818.0,ificom-2022.xlsx,2022.0,43.6380218809,3.91265416028,1217254.0
ILE-DE-FRANCE,PARIS,75114,PARIS 14e,1944.0,2400093.0,10387.0,ificom-2022.xlsx,2022.0,48.8289932116,2.32710088326,20192328.0
PAYS DE LA LOIRE,MAYENNE,53130,LAVAL,80.0,2396354.0,10426.0,ificom-2022.xlsx,2022.0,48.0608565468,-0.766005687142,834080.0
AUVERGNE-RHONE-ALPES,RHONE,69123,LYON,2401.0,2395060.0,9690.0,ificom-2022.xlsx,2022.0,,,23265690.0
ILE-DE-FRANCE,PARIS,75119,PARIS 19e,594.0,2385687.0,9972.0,ificom-2022.xlsx,2022.0,48.886868623,2.38469432787,5923368.0
LA REUNION,LA REUNION,97416,SAINT PIERRE,119.0,2383185.0,10730.0,ificom-2022.xlsx,2022.0,-21.3123242427,55.4936155164,1276870.0
LA REUNION,LA REUNION,97416,SAINT PIERRE,119.0,2383185.0,10730.0,ificom-2022.xlsx,2022.0,-21.3123242427,55.4936155164,1276870.0
